ID,Type,Length_km,Travel_Time,Capacity,Traffic_Conditions,Infrastructure_Quality,Safety,Usage_Cost,Accessibility,Dynamic_Data
"(1, 2)",Road,10,15,"30 vehicles, 300 passengers",Moderate,Good,High,"$2, Low maintenance",,Stable
"(2, 3)",Railway,50,60,"50 vehicles, 500 passengers",Low,Average,Medium,"$5, Moderate maintenance",,Stable
"(3, 4)",Air_Route,15,10,"2 planes, 200 passengers",Low,Good,High,"$50, High maintenance",,Variable
"(4, 5)",Maritime_Route,25,30,"4 ships, 400 passengers",Moderate,Poor,Low,"$30, High maintenance",,Variable
"(5, 1)",Road,15,20,"40 vehicles, 350 passengers",High,Average,Medium,"$3, Moderate maintenance",,Variable
"(6, 7)",Railway,5,8,"35 vehicles, 280 passengers",Moderate,Good,High,"$2, Low maintenance",,Stable
"(7, 8)",Air_Route,20,18,"3 planes, 210 passengers",Low,Good,High,"$55, High maintenance",,Variable
"(8, 9)",Maritime_Route,30,25,"5 ships, 450 passengers",High,Poor,Low,"$35, High maintenance",,Variable
"(9, 10)",Road,12,14,"32 vehicles, 320 passengers",Moderate,Good,High,"$4, Low maintenance",,Stable
"(10, 6)",Railway,7,10,"38 vehicles, 290 passengers",Low,Average,Medium,"$3, Moderate maintenance",,Stable
"(1, 5)",Road,8,12,"28 vehicles, 270 passengers",High,Good,High,"$3, Low maintenance",,Variable
"(2, 6)",Railway,12,15,"45 vehicles, 430 passengers",Moderate,Poor,Low,"$6, Moderate maintenance",,Stable
"(3, 7)",Air_Route,18,16,"2 planes, 220 passengers",Low,Good,High,"$60, High maintenance",,Variable
"(4, 8)",Maritime_Route,22,28,"6 ships, 500 passengers",Moderate,Poor,Low,"$40, High maintenance",,Variable
"(5, 9)",Road,13,17,"37 vehicles, 340 passengers",High,Good,High,"$4, Low maintenance",,Stable
